Tank,date,week,average.temp,power,trophic.level,NPP,ER,chla,PP.biomass,zooplankton.carbon.per.L,ZP.per.L,total.carbon,NPP.mass
6,21/08/2012,8,14.038,50,P,0.513103448,0.277894737,3.94,216.7,,,216.7,0.002367805
25,21/08/2012,8,15.091,0,P,0.844137931,0.48,3.95,217.25,,,217.25,0.00388556
15,21/08/2012,8,17.665,100,P,1.059310345,0.530526316,1.78,97.9,,,97.9,0.01082033
3,21/08/2012,8,18.654,150,P,1.622068966,0.732631579,1.14,62.7,,,62.7,0.025870318
29,21/08/2012,8,19.564,200,P,1.688275862,1.061052632,2.53,139.15,,,139.15,0.012132777
17,21/08/2012,8,20.158,250,P,1.820689655,1.061052632,5.83,320.65,,,320.65,0.005678121
27,21/08/2012,8,21.038,300,P,1.886896552,1.288421053,2.62,144.1,,,144.1,0.013094355
14,21/08/2012,8,21.999,350,P,1.936551724,1.591578947,3.08,169.4,,,169.4,0.011431828
1,21/08/2012,8,23.789,400,P,1.953103448,1.717894737,1.41,77.55,,,77.55,0.025185086
8,21/08/2012,8,27.469,450,P,2.085517241,2.021052632,0.35,19.25,,,19.25,0.108338558
21,21/08/2012,8,15.7465,50,PZ,0.794482759,1.970526316,0.18,9.9,,,9.9,0.080250784
28,21/08/2012,8,17.57,100,PZ,1.175172414,2.046315789,3.12,171.6,12.04942272,42.2,183.6494227,0.006398999
11,21/08/2012,8,17.855,0,PZ,1.522758621,2.096842105,3.16,173.8,6.902731131,39,180.7027311,0.008426871
19,21/08/2012,8,18.123,150,PZ,1.72137931,2.197894737,4.49,246.95,5.77215965,23.2,252.7221597,0.006811351
12,21/08/2012,8,19.203,200,PZ,1.754482759,2.450526316,1.66,91.3,4.142389278,6.6,95.44238928,0.018382637
13,21/08/2012,8,20.158,250,PZ,1.953103448,2.677894737,1.36,74.8,2.6733784,6.4,77.4733784,0.025209995
22,21/08/2012,8,21.648,300,PZ,1.837241379,2.940631579,0.54,29.7,2.42642749,3.8,32.12642749,0.057187852
20,21/08/2012,8,22.978,350,PZ,2.284137931,3.410526316,3.66,201.3,0.629174042,0.4,201.929174,0.01131158
9,21/08/2012,8,23.996,400,PZ,3.988965517,3.84,1.21,66.55,0.527139959,0.4,67.07713996,0.05946833
30,21/08/2012,8,24.978,450,PZ,4.154482759,4.016842105,0.05,2.75,0.51,0.2,3.26,1.274381214
2,21/08/2012,8,15.187,0,PZN,2.234482759,2.703157895,4.69,257.95,0.48945,0.2,258.43945,0.008646059
24,21/08/2012,8,15.632,50,PZN,0.148965517,0.454736842,6.17,339.35,4.815822514,10.8,344.1658225,0.000432831
5,21/08/2012,8,17.687,100,PZN,0.066206897,0.101052632,3.06,168.3,3.300263745,7.8,171.6002637,0.00038582
16,21/08/2012,8,18.654,150,PZN,0.529655172,1.086315789,4.94,271.7,2.464453633,5.4,274.1644536,0.001931889
10,21/08/2012,8,19.456,200,PZN,0.248275862,2.450526316,6.12,336.6,1.778491588,5,338.3784916,0.000733722
26,21/08/2012,8,20.468,250,PZN,0.297931034,2.526315789,1.88,103.4,1.676976183,3.8,105.0769762,0.00283536
4,21/08/2012,8,21.798,300,PZN,0.364137931,1.894736842,1,55,1.465883191,2.8,56.46588319,0.006448813
7,21/08/2012,8,23.003,350,PZN,0.711724138,1.844210526,3,165,1.45516902,1.8,166.455169,0.004275771
18,21/08/2012,8,23.125,450,PZN,0.645517241,1.818947368,0.89,48.95,0.884507794,1.2,49.83450779,0.012953218
23,21/08/2012,8,23.78,400,PZN,0.331034483,2.551578947,0.76,41.8,0.482541925,0.2,42.28254193,0.007829106
23,21/08/2012,8,23.78,400,PZN,0.711724138,0.106315789,0.76,0.418,,,0.418,1.702689325
